Transfers of major conventional arms from All countries  to All countries . Deals with deliveries made for the year range '1950' to '1991' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 24 Dec 2025 8:08:58 AM
SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
16135,Soviet Union,Afghanistan,BS-3 100mm,towed gun,Artillery,1958,Yes,75,Yes,1960,Yes,Second hand,0.35,0.14,10.5,No
16135,Soviet Union,Afghanistan,BS-3 100mm,towed gun,Artillery,1958,Yes,75,Yes,1961,Yes,Second hand,0.35,0.14,10.5,No
16135,Soviet Union,Afghanistan,BS-3 100mm,towed gun,Artillery,1958,Yes,50,Yes,1962,Yes,Second hand,0.35,0.14,7,No
16140,Soviet Union,Afghanistan,BTR-60PB,armoured personnel carrier,Armoured vehicles,1978,Yes,75,Yes,1979,Yes,Second hand,0.25,0.1,7.5,No
16140,Soviet Union,Afghanistan,BTR-60PB,armoured personnel carrier,Armoured vehicles,1978,Yes,75,Yes,1980,Yes,Second hand,0.25,0.1,7.5,No
16140,Soviet Union,Afghanistan,BTR-60PB,armoured personnel carrier,Armoured vehicles,1978,Yes,75,Yes,1981,Yes,Second hand,0.25,0.1,7.5,No
16140,Soviet Union,Afghanistan,BTR-60PB,armoured personnel carrier,Armoured vehicles,1978,Yes,75,Yes,1982,Yes,Second hand,0.25,0.1,7.5,No
16140,Soviet Union,Afghanistan,BTR-60PB,armoured personnel carrier,Armoured vehicles,1978,Yes,75,Yes,1983,Yes,Second hand,0.25,0.1,7.5,No
16140,Soviet Union,Afghanistan,BTR-60PB,armoured personnel carrier,Armoured vehicles,1978,Yes,75,Yes,1984,Yes,Second hand,0.25,0.1,7.5,No
16140,Soviet Union,Afghanistan,BTR-60PB,armoured personnel carrier,Armoured vehicles,1978,Yes,75,Yes,1985,Yes,Second hand,0.25,0.1,7.5,No
16140,Soviet Union,Afghanistan,BTR-60PB,armoured personnel carrier,Armoured vehicles,1978,Yes,75,Yes,1986,Yes,Second hand,0.25,0.1,7.5,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,25,Yes,1979,Yes,New,0.9,0.9,22.5,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,25,Yes,1980,Yes,New,0.9,0.9,22.5,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,25,Yes,1981,Yes,New,0.9,0.9,22.5,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,25,Yes,1982,Yes,New,0.9,0.9,22.5,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,25,Yes,1983,Yes,New,0.9,0.9,22.5,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,25,Yes,1984,Yes,New,0.9,0.9,22.5,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,25,Yes,1985,Yes,New,0.9,0.9,22.5,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,25,Yes,1986,Yes,New,0.9,0.9,22.5,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,50,Yes,1987,Yes,New,0.9,0.9,45,No
16142,Soviet Union,Afghanistan,BMP-1,infantry fighting vehicle,Armoured vehicles,1979,Yes,50,Yes,1988,Yes,New,0.9,0.9,45,No
